State,Bill Name,Issues,Status,Status Detail,Status Date,In Court Link
"West Virginia","H.B.2795","Healthcare restrictions | Other anti-LGBTQ bills | Other healthcare barriers | Other school restrictions | Public accommodation bans | Restricting student & educator rights","Introduced","Carried over","01/14/2026",""
"Virginia","H.B. 158","Healthcare restrictions | Other healthcare barriers","Advancing","House referred to committee","01/06/2026",""
"Virginia","S.B. 411","Healthcare age restrictions | Healthcare funding restrictions | Healthcare restrictions | ","Advancing","Assigned to Senate subcommittee","01/30/2026",""
"Virginia","S.B. 561","Restricting student & educator rights | School facilities bans","Advancing","Passed by indefinitely in Senate committee","01/29/2026",""
"Virginia","S.B. 703","Restricting student & educator rights | School sports bans","Advancing","Passed by indefinitely in Senate committee","01/29/2026",""
"Virginia","H.B. 1242","Restricting student & educator rights | School sports bans","Advancing","House committee Referral Pending","01/14/2026",""
"Virginia","S.B. 560","Restricting student & educator rights | School sports bans","Advancing","Passed by indefinitely in Senate committee","01/29/2026",""
"Virginia","S.B. 295","Restricting student & educator rights | School sports bans","Advancing","Passed by indefinitely in Senate committee","01/29/2026",""
"Utah","H.B.174","Healthcare age restrictions | Healthcare restrictions | ","Advancing","House second read as amended","01/28/2026",""
"Utah","H.B.193","Healthcare funding restrictions | Healthcare restrictions | ","Advancing","House second read as substituted","01/28/2026",""
"Tennessee","H.B.1271","Re-definition of sex | Weakening Civil Rights Laws","Advancing","Taken off notice for House committee calendar","01/21/2026",""
"Tennessee","H.B.1666","Other school restrictions | Restricting student & educator rights","Advancing","Senate passed on second consideration and referred to subcommittee","01/21/2026",""
"Tennessee","S.B.1665","Other school restrictions | Restricting student & educator rights","Advancing","Senate passed on second consideration and referred to committee","01/21/2026",""
"South Carolina","H.B.4756","Restricting student & educator rights | School facilities bans","Advancing","House second read and passed as amended","01/29/2026",""
"Oklahoma","S.B.2003","Public accommodation bans | Restricting student & educator rights | School facilities bans","Advancing","Senate second read and referred to committee","02/03/2026",""
"Oklahoma","S.B.1912","Healthcare age restrictions | Healthcare restrictions | Other healthcare barriers","Advancing","Senate second read and referred to committee","02/03/2026",""
"Oklahoma","S.B.1736","Curriculum censorship | Restricting student & educator rights","Advancing","Senate second read and referred to committee","02/03/2026",""
"Oklahoma","S.B.1905","Healthcare funding restrictions | Healthcare restrictions | Total healthcare bans","Advancing","Senate second read and referred to committee","02/03/2026",""
"New Hampshire","S.B.268","Healthcare age restrictions | Healthcare restrictions | Other civil rights restrictions | Weakening Civil Rights Laws","Advancing","Senate enrolled and adopted; House enrolled","01/27/2026",""
"New Hampshire","H.B.1778","Curriculum censorship | Restricting student & educator rights","Advancing","Public hearing","02/02/2026",""
"Nebraska","L.B.732","Healthcare age restrictions | Healthcare restrictions | ","Advancing","Motion to indefinitely postpone, bracket, and recommit to committee filed","01/30/2026",""
"Missouri","H.B. 1973","Restricting student & educator rights | School sports bans","Advancing","Reported favorably by House committee","01/28/2026",""
"Missouri","S.B. 861","Healthcare age restrictions | Healthcare restrictions | ","Advancing","Senate committee hearing conducted","01/28/2026",""
"Missouri","H.B. 1607","Restricting student & educator rights | School sports bans","Advancing","Reported favorably by House committee","01/28/2026",""
"Missouri","H.B. 1672","Healthcare age restrictions | Healthcare restrictions | ","Advancing","Reported favorably by House committee","01/28/2026",""
"Missouri","H.B. 1854","Healthcare age restrictions | Healthcare restrictions | ","Advancing","Reported favorably by House committee","01/28/2026",""
"Missouri","H.B. 1608","Healthcare age restrictions | Healthcare restrictions | ","Advancing","Reported favorably by House committee","01/28/2026",""
"Missouri","S.B. 1389","Public accommodation bans","Advancing","Second read and referred to committee","01/27/2026",""
"Missouri","S.B. 1204","Other civil rights restrictions | Weakening Civil Rights Laws","Advancing","Senate second read and referred to committee","01/27/2026",""
"Missouri","S.B. 1200","Healthcare age restrictions | Healthcare restrictions | ","Advancing","Senate second read and referred to committee","01/27/2026",""
"Missouri","S.B. 1334","Forced outing in schools | Other school restrictions | Restricting student & educator rights","Advancing","Senate second read and referred to committee","01/27/2026",""
"Missouri","S.B. 1278","Restricting student & educator rights | School sports bans","Advancing","Senate second read and referred to committee","01/27/2026",""
"Missouri","S.B. 1333","Other anti-LGBTQ bills","Advancing","Second read and referred to committee","01/27/2026",""
"Missouri","S.B. 1264","Healthcare age restrictions | Healthcare restrictions | ","Advancing","Senate second read and referred to committee","01/27/2026",""
"Missouri","S.B. 1190","Healthcare restrictions | Other healthcare barriers","Advancing","Senate second read and referred to committee","01/27/2026",""
"Missouri","H.B. 2033","Healthcare age restrictions | Healthcare restrictions | ","Advancing","Reported favorably and re-referred to committee","01/29/2026",""
"Missouri","H.B. 1663","Restricting student & educator rights | School sports bans","Advancing","Reported favorably and re-referred to committee","01/29/2026",""
"Maryland","H.B.0356","Religious exemptions | Weakening Civil Rights Laws","Advancing","House hearing","02/17/2026",""
"Maryland","S.B.0050","Restricting student & educator rights | School sports bans","Advancing","Senate hearing","02/18/2026",""
"Iowa","H.S.B.542","Other anti-LGBTQ bills","Advancing","House subcommittee reassigned","01/20/2026",""
"Iowa","H.S.B.537","Other anti-LGBTQ bills","Advancing","House subcommittee reassigned","01/20/2026",""
"Iowa","H.F.922","Other anti-LGBTQ bills","Advancing","House subcommittee hearing","02/03/2026",""
"Iowa","S.F.2063","Other school restrictions | Restricting student & educator rights","Advancing","Reported favorably by Senate subcommittee","01/29/2026",""
"Indiana","S.B.0182","Barriers to accurate IDs | Other anti-LGBTQ bills | Re-definition of sex | Weakening Civil Rights Laws","Advancing","Senate passed; House first read and referred to committee","01/29/2026",""
"Indiana","H.B.1389","Religious exemptions | Weakening Civil Rights Laws","Advancing","House second read, engrossed, and amendment failed","01/29/2026",""
"Idaho","H.516","Curriculum censorship | Restricting student & educator rights","Advancing","Referred to House committee","01/23/2026",""
"Hawaii","H.B.257","Barriers to accurate IDs | ","Introduced","Carried over","01/21/2026",""
"Hawaii","H.B.268","Restricting student & educator rights | School sports bans","Introduced","Carried over","01/21/2026",""
"Hawaii","H.B.207","Restricting student & educator rights | School sports bans","Introduced","Carried over","01/21/2026",""
"Florida","S.B. 1134","Other anti-LGBTQ bills","Advancing","On Senate committee agenda","02/03/2026",""
"Florida","S.B. 1566","Other anti-LGBTQ bills","Advancing","Senate referred to committee","01/16/2026",""
"Florida","S.B. 1642","Other anti-LGBTQ bills | Religious exemptions | Weakening Civil Rights Laws","Advancing","On Senate committee agenda","02/02/2026",""
"Florida","S.B. 1444","Religious exemptions | Weakening Civil Rights Laws","Advancing","Reported favorably and re-referred to Senate committee","01/28/2026",""
"Arizona","H.C.R.2044","Other school restrictions | Restricting student & educator rights","Advancing","House second read","01/26/2026",""
"Arizona","S.B.1015","Healthcare restrictions | Other healthcare barriers","Advancing","Senate consent by Minority and Majority Caucus","01/27/2026",""
"Arizona","H.B.2249","Forced outing in schools | Restricting student & educator rights","Advancing","House consent by Minority and Majority Caucus","01/27/2026",""
"Arizona","S.C.R.1006","Other school restrictions | Religious exemptions | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws","Advancing","Reported favorably by Senate committee","01/28/2026",""
"Arizona","S.B.1095","Healthcare age restrictions | Healthcare restrictions | ","Advancing","Reported favorably by Senate committee","01/28/2026",""
"West Virginia","S.B.590","Drag bans | Free speech & expression bans | ","Advancing","Referred to Senate committee","01/23/2026",""
"West Virginia","S.B.629","Healthcare age restrictions | Healthcare funding restrictions | Healthcare restrictions | Other healthcare barriers | Other school restrictions | Restricting student & educator rights","Advancing","Referred to Senate committee","01/27/2026",""
"Utah","S.B.212","Religious exemptions | Weakening Civil Rights Laws","Advancing","Referred to Senate committee","01/30/2026",""
